dataset_id,primitive_or_variable,description,source_name,source_url,access_method,acquisition_timestamp_utc,coverage_start,coverage_end,frequency,units,raw_filename,raw_sha256,row_count,column_count,missingness_status,transformation_status,license_or_access_notes,provenance_status,reproducibility_status,notes
REPO-013,,,,12SCS repository snapshot,https://github.com/TheRealoliGARCH/12SCS,repository_snapshot,,,,,,evidence_ledger_energy_resource_security_2026.csv,AUTO_SHA256_AT_FREEZE,,,unknown,as_stored,repository-verifiable,repository_verifiable,repository_snapshot,Repository evidence ledger.
REPO-014,,,,12SCS repository snapshot,https://github.com/TheRealoliGARCH/12SCS,repository_snapshot,,,,,,evidence_ledger_financial_monetary_2026.csv,AUTO_SHA256_AT_FREEZE,,,unknown,as_stored,repository-verifiable,repository_verifiable,repository_snapshot,Repository evidence ledger.
REPO-015,,,,12SCS repository snapshot,https://github.com/TheRealoliGARCH/12SCS,repository_snapshot,,,,,,evidence_ledger_food_water_2026.csv,AUTO_SHA256_AT_FREEZE,,,unknown,as_stored,repository-verifiable,repository_verifiable,repository_snapshot,Repository evidence ledger.
REPO-016,,,,12SCS repository snapshot,https://github.com/TheRealoliGARCH/12SCS,repository_snapshot,,,,,,evidence_ledger_industrial.csv,AUTO_SHA256_AT_FREEZE,,,unknown,as_stored,repository-verifiable,repository_verifiable,repository_snapshot,Repository evidence ledger.
REPO-017,,,,12SCS repository snapshot,https://github.com/TheRealoliGARCH/12SCS,repository_snapshot,,,,,,evidence_ledger_information_cyber_ai_2026.csv,AUTO_SHA256_AT_FREEZE,,,unknown,as_stored,repository-verifiable,repository_verifiable,repository_snapshot,Repository evidence ledger.
REPO-018,,,,12SCS repository snapshot,https://github.com/TheRealoliGARCH/12SCS,repository_snapshot,,,,,,evidence_ledger_infrastructure_logistics.csv,AUTO_SHA256_AT_FREEZE,,,unknown,as_stored,repository-verifiable,repository_verifiable,repository_snapshot,Repository evidence ledger.
REPO-019,,,,12SCS repository snapshot,https://github.com/TheRealoliGARCH/12SCS,repository_snapshot,,,,,,evidence_ledger_military.csv,AUTO_SHA256_AT_FREEZE,,,unknown,as_stored,repository-verifiable,repository_verifiable,repository_snapshot,Repository evidence ledger.
REPO-020,,,,12SCS repository snapshot,https://github.com/TheRealoliGARCH/12SCS,repository_snapshot,,,,,,evidence_ledger_science_technology.csv,AUTO_SHA256_AT_FREEZE,,,unknown,as_stored,repository-verifiable,repository_verifiable,repository_snapshot,Repository evidence ledger.
REPO-021,,,,12SCS repository snapshot,https://github.com/TheRealoliGARCH/12SCS,repository_snapshot,,,,,,financial_monetary_power_2026.csv,AUTO_SHA256_AT_FREEZE,,,unknown,as_stored,repository-verifiable,repository_verifiable,repository_snapshot,Historical acquisition metadata unresolved.
REPO-022,,,,12SCS repository snapshot,https://github.com/TheRealoliGARCH/12SCS,repository_snapshot,,,,,,food_water_humanitarian_resilience_2026.csv,AUTO_SHA256_AT_FREEZE,,,unknown,as_stored,repository-verifiable,repository_verifiable,repository_snapshot,Historical acquisition metadata unresolved.
REPO-023,,,,12SCS repository snapshot,https://github.com/TheRealoliGARCH/12SCS,repository_snapshot,,,,,,information_cyber_ai_2026.csv,AUTO_SHA256_AT_FREEZE,,,unknown,as_stored,repository-verifiable,repository_verifiable,repository_snapshot,Historical acquisition metadata unresolved.
REPO-024,,,,12SCS repository snapshot,https://github.com/TheRealoliGARCH/12SCS,repository_snapshot,,,,,,infrastructure_logistics_2026.csv,AUTO_SHA256_AT_FREEZE,,,unknown,as_stored,repository-verifiable,repository_verifiable,repository_snapshot,Historical acquisition metadata unresolved.
REPO-025,,,,12SCS repository snapshot,https://github.com/TheRealoliGARCH/12SCS,repository_snapshot,,,,,,nuclear_strategic_deterrence_2026.csv,AUTO_SHA256_AT_FREEZE,,,unknown,as_stored,repository-verifiable,repository_verifiable,repository_snapshot,Protocol-backed repository observation file.
REPO-026,,,,12SCS repository snapshot,https://github.com/TheRealoliGARCH/12SCS,repository_snapshot,,,,,,science_technology_2025.csv,AUTO_SHA256_AT_FREEZE,,,unknown,as_stored,repository-verifiable,repository_verifiable,repository_snapshot,Historical acquisition metadata unresolved.
REPO-027,,,,12SCS repository snapshot,https://github.com/TheRealoliGARCH/12SCS,repository_snapshot,,,,,,states.csv,AUTO_SHA256_AT_FREEZE,,,unknown,as_stored,repository-verifiable,repository_verifiable,repository_snapshot,State roster; checksum is resolved deterministically at freeze.
